canonical_name,canonical_is_yoe_enterprise,candidate_name,candidate_id,candidate_type,candidate_mention_count,jw_score,type_match,recommendation,status
Regenerative World Quest,no,Regenerative Landscaping,Regenerative Landscaping,PRACTICE,1,0.867,no,type-mismatch,
Regenerative World Quest,no,Regenerating Soil,Regenerating Soil,PRACTICE,1,0.867,no,type-mismatch,
Regenerative World Quest,no,Regeneration Work,Regeneration Work,CONCEPT,1,0.867,no,type-mismatch,
Regenerative World Quest,no,Regenerative Farms Map Tool,Regenerative Farms Map Tool,TECHNOLOGY,1,0.867,no,type-mismatch,
Regenerative World Quest,no,Regenerative Economics,Regenerative Economics,CONCEPT,8,0.866,no,type-mismatch,
Regenerative World Quest,no,regenerative economics,regenerative economics,CONCEPT,2,0.866,no,type-mismatch,
Regenerative World Quest,no,Regenerative International,Regenerative International,ORGANIZATION,1,0.866,yes,low-confidence,
Regenerative World Quest,no,regenerative change,regenerative change,CONCEPT,1,0.864,no,type-mismatch,
Regenerative World Quest,no,Regenerative Organic Certified,Regenerative Organic Certified,CONCEPT,2,0.864,no,type-mismatch,
Regenerative World Quest,no,Regenerative Ag 101,Regenerative Ag 101,EVENT,1,0.864,no,type-mismatch,
Regenerative World Quest,no,Regenerative Organic Alliance,Regenerative Organic Alliance,ORGANIZATION,8,0.863,yes,low-confidence,
Regenerative World Quest,no,Regenerative Fashion,Regenerative Fashion,CONCEPT,1,0.862,no,type-mismatch,
Regenerative World Quest,no,regenerative economy,regenerative economy,CONCEPT,3,0.862,no,type-mismatch,
Regenerative World Quest,no,Regenerative Chestnut Farmer,Regenerative Chestnut Farmer,PRACTICE,1,0.862,no,type-mismatch,
Regenerative World Quest,no,Regenerative Economy,Regenerative Economy,CONCEPT,2,0.862,no,type-mismatch,
Regenerative World Quest,no,Regenerative Certification,Regenerative Certification,CONCEPT,1,0.861,no,type-mismatch,
Regenerative World Quest,no,Regenerative Capacities,Regenerative Capacities,CONCEPT,1,0.860,no,type-mismatch,
Regenerative World Quest,no,Regenerative Capitalism,Regenerative Capitalism,CONCEPT,1,0.860,no,type-mismatch,
Regenerative World Quest,no,regenerative farming practices,regenerative farming practices,CONCEPT,1,0.859,no,type-mismatch,
Regenerative World Quest,no,Regenerative Farming,Regenerative Farming,CONCEPT,3,0.857,no,type-mismatch,
Regenerative World Quest,no,Regenerative Finance,Regenerative Finance,CONCEPT,3,0.857,no,type-mismatch,
Regenerative World Quest,no,regenerative farming,regenerative farming,PRACTICE,1,0.857,no,type-mismatch,
Regenerative World Quest,no,Regenerative Company,Regenerative Company,CONCEPT,1,0.857,no,type-mismatch,
Regenerative World Quest,no,regenerative grazing,regenerative grazing,PRACTICE,1,0.857,no,type-mismatch,
Regenerative World Quest,no,Regenerative Organic Certification,Regenerative Organic Certification,CONCEPT,12,0.856,no,type-mismatch,
Regenerative World Quest,no,regenerative organic certification,regenerative organic certification,CONCEPT,2,0.856,no,type-mismatch,
Regenerative World Quest,no,Regenerative Transformation,Regenerative Transformation,CONCEPT,1,0.856,no,type-mismatch,
Regenerative World Quest,no,regenerative ways of growing,regenerative ways of growing,CONCEPT,1,0.856,no,type-mismatch,
Regenerative World Quest,no,Regenerative Sustainability,Regenerative Sustainability,CONCEPT,1,0.856,no,type-mismatch,
Regenerative World Quest,no,Regenerative Economic Ecosystem,Regenerative Economic Ecosystem,CONCEPT,2,0.855,no,type-mismatch,
Regenerative World Quest,no,regenerative economic ecosystem,regenerative economic ecosystem,CONCEPT,1,0.855,no,type-mismatch,
Regenerative World Quest,no,regeneration renazons,regeneration renazons,CONCEPT,1,0.855,no,type-mismatch,
Regenerative World Quest,no,regenerative cropping,regenerative cropping,PRACTICE,1,0.855,no,type-mismatch,
Regenerative World Quest,no,regenerating the earth,regenerating the earth,PRACTICE,1,0.854,no,type-mismatch,
Soil Werks Biodynamic Fertilizer,yes,Soil Remediation,Soil Remediation,PRACTICE,1,0.850,no,type-mismatch,
Transition Network International,no,Transition Towns,Transition Towns,ORGANIZATION,1,0.868,yes,low-confidence,
Transition Network International,no,Transition Period,Transition Period,CONCEPT,1,0.857,no,type-mismatch,
Umbo,no,Umbo,Umbo,PRODUCT,2,1.000,yes,auto-flag,accept
Umbo,no,umbo bottles,umbo bottles,PRODUCT,1,0.867,yes,low-confidence,
Vera Herbals,no,Vera Herbals,Vera Herbals,ORGANIZATION,9,1.000,yes,auto-flag,accept
Vera Herbals,no,Vera Herbal’s,Vera Herbal’s,ORGANIZATION,1,0.985,yes,auto-flag,
Vera Herbals,no,Vera Herbles,Vera Herbles,ORGANIZATION,9,0.967,yes,auto-flag,
Vera Herbals,no,Vera Herbels,Vera Herbels,ORGANIZATION,7,0.967,yes,auto-flag,
Vera Herbals,no,Vera Urbals,Vera Urbals,ORGANIZATION,2,0.948,yes,auto-flag,
Vera Herbals,no,Vera Herbal’s Growing Spaces,Vera Herbal’s Growing Spaces,ORGANIZATION,1,0.886,yes,low-confidence,
Vera Herbals,no,Vera Irwells,Vera Irwells,ORGANIZATION,1,0.878,yes,low-confidence,
Vera Herbals,no,Vera,Vera,ORGANIZATION,2,0.867,yes,low-confidence,
Wele Waters,yes,Wele Waters,Wele Waters,PRODUCT,5,1.000,yes,auto-flag,accept
Wele Waters,yes,Weile Waters,Weile Waters,ORGANIZATION,1,0.978,yes,auto-flag,
Wele Waters,yes,Weyley Waters,Weyley Waters,PRODUCT,2,0.959,yes,auto-flag,
Wele Waters,yes,Weilei Waters,Weilei Waters,ORGANIZATION,1,0.959,yes,auto-flag,
Wele Waters,yes,Wale Waters,Wale Waters,PRODUCT,2,0.915,yes,low-confidence,
Wele Waters,yes,Weila Waters,Weila Waters,ORGANIZATION,1,0.905,yes,low-confidence,
Wele Waters,yes,Weylay Waters,Weylay Waters,PRODUCT,10,0.888,yes,low-confidence,
Wele Waters,yes,Weyland Waters,Weyland Waters,ORGANIZATION,1,0.873,yes,low-confidence,
Wele Waters,yes,Walei Waters,Walei Waters,ORGANIZATION,8,0.863,yes,low-confidence,
Wele Waters,yes,Whale Waters,Whale Waters,ORGANIZATION,2,0.863,yes,low-confidence,
Wele Waters,yes,wheylay waters,wheylay waters,PRODUCT,1,0.857,yes,low-confidence,
Wele Waters,yes,Wheylay Waters,Wheylay Waters,ORGANIZATION,5,0.857,yes,low-confidence,
Y on Earth Community,yes,Y on Earth Community,Y on Earth Community,ORGANIZATION,14,1.000,yes,auto-flag,accept
Y on Earth Community,yes,Y on Earth community,Y on Earth community,ORGANIZATION,2,1.000,yes,auto-flag,accept
Y on Earth Community,yes,YonEarthCommunity,YonEarthCommunity,ORGANIZATION,1,0.955,yes,auto-flag,
Y on Earth Community,yes,Y on Earth Community Podcast,Y on Earth Community Podcast,EVENT,4,0.943,no,type-mismatch,
Y on Earth Community,yes,Y on Earth Community Network,Y on Earth Community Network,ORGANIZATION,1,0.943,yes,auto-flag,
Y on Earth Community,yes,Y on Earth community podcast,Y on Earth community podcast,EVENT,1,0.943,no,type-mismatch,
Y on Earth Community,yes,Y and Earth community,Y and Earth community,ORGANIZATION,3,0.933,yes,auto-flag,
Y on Earth Community,yes,Yon Earth community,Yon Earth community,ORGANIZATION,1,0.922,yes,auto-flag,
Y on Earth Community,yes,YonEarth Community,YonEarth Community,ORGANIZATION,23,0.903,yes,low-confidence,
Y on Earth Community,yes,YonEarth community,YonEarth community,ORGANIZATION,9,0.903,yes,low-confidence,
Y on Earth Community,yes,Yonearth Community,Yonearth Community,ORGANIZATION,1,0.903,yes,low-confidence,
Y on Earth Community,yes,yonearth community,yonearth community,ORGANIZATION,1,0.903,yes,low-confidence,
Y on Earth Community,yes,Y on Earth,Y on Earth,ORGANIZATION,31,0.900,yes,low-confidence,
Y on Earth Community,yes,y on earth,y on earth,PRODUCT,1,0.900,yes,low-confidence,
Y on Earth Community,yes,YonEarthcommunities,YonEarthcommunities,ORGANIZATION,1,0.893,yes,low-confidence,
Y on Earth Community,yes,Why on Earth Community,Why on Earth Community,ORGANIZATION,18,0.886,yes,low-confidence,
Y on Earth Community,yes,Y and Earth communities,Y and Earth communities,ORGANIZATION,1,0.886,yes,low-confidence,
Y on Earth Community,yes,Why On Earth Community,Why On Earth Community,ORGANIZATION,1,0.886,yes,low-confidence,
Y on Earth Community,yes,Y on Earth Network,Y on Earth Network,ORGANIZATION,1,0.881,yes,low-confidence,
Y on Earth Community,yes,One Earth Community,One Earth Community,ORGANIZATION,1,0.875,yes,low-confidence,
Y on Earth Community,yes,Y on Earth Community Stewardship and Sustainability Podcast,Y on Earth Community Stewardship and Sustainability Podcast,EVENT,1,0.868,no,type-mismatch,
Y on Earth Community,yes,Y One Earth,Y One Earth,ORGANIZATION,1,0.862,yes,low-confidence,
Y on Earth Community,yes,Y on Earth community stewardship and sustainability podcast series,Y on Earth community stewardship and sustainability podcast series,EVENT,3,0.861,no,type-mismatch,
Y on Earth Community,yes,Y on Earth Community Stewardship and Sustainability Podcast Series,Y on Earth Community Stewardship and Sustainability Podcast Series,EVENT,1,0.861,no,type-mismatch,
Y on Earth Community,yes,Nova Terra community,Nova Terra community,PLACE,1,0.861,no,type-mismatch,
Y on Earth Community,yes,Why and Earth Community,Why and Earth Community,ORGANIZATION,1,0.855,yes,low-confidence,
Zeal Optics,no,Zeal Optics,Zeal Optics,ORGANIZATION,2,1.000,yes,auto-flag,accept
Zeal Optics,no,Zeal Opticss,Zeal Opticss,ORGANIZATION,1,0.983,yes,auto-flag,
Zeal Optics,no,Zeal,Zeal,ORGANIZATION,3,0.873,yes,low-confidence,
